Logistic,SVM,RandomForest,XGBoost,Keras,TabNet
0.6875,0.6041666666666666,0.5,0.16666666666666666,0.25,0.5625
0.7959183673469388,0.6938775510204082,0.46938775510204084,0.10204081632653061,0.44897958636283875,0.6938775510204082
0.7551020408163265,0.6530612244897959,0.6122448979591837,0.1836734693877551,0.5102040767669678,0.5510204081632653
0.8163265306122449,0.5918367346938775,0.5306122448979592,0.16326530612244897,0.7346938848495483,0.5510204081632653
0.75,0.6666666666666666,0.5208333333333334,0.16666666666666666,0.75,0.5416666666666666
0.5833333333333334,0.5416666666666666,0.4375,0.0625,0.7708333134651184,0.4166666666666667
0.6666666666666666,0.5625,0.5625,0.125,0.8958333134651184,0.5625
0.8333333333333334,0.7083333333333334,0.6041666666666666,0.14583333333333334,0.7083333134651184,0.5208333333333334
0.5625,0.625,0.5625,0.125,0.8333333134651184,0.4166666666666667
0.7291666666666666,0.625,0.5208333333333334,0.25,0.9166666865348816,0.6666666666666666
